2025-05-28 01:02:00 - Episode 151, Reward: -549.00, Variance: 3470.0100, Epsilon Home: 0.1478, Epsilon Away: 0.3500, Score: 37-16
2025-05-28 01:02:06 - Episode 152, Reward: -471.00, Variance: 3574.8622, Epsilon Home: 0.1475, Epsilon Away: 0.3500, Score: 23-18
2025-05-28 01:02:12 - Episode 153, Reward: -490.00, Variance: 3549.5389, Epsilon Home: 0.1472, Epsilon Away: 0.3500, Score: 28-7
2025-05-28 01:02:18 - Episode 154, Reward: -421.00, Variance: 3800.6233, Epsilon Home: 0.1469, Epsilon Away: 0.3500, Score: 40-16
2025-05-28 01:02:25 - Episode 155, Reward: -521.00, Variance: 3802.9789, Epsilon Home: 0.1466, Epsilon Away: 0.3500, Score: 49-21
2025-05-28 01:02:32 - Episode 156, Reward: -566.00, Variance: 3694.6767, Epsilon Home: 0.1464, Epsilon Away: 0.3500, Score: 46-27
2025-05-28 01:02:39 - Episode 157, Reward: -517.00, Variance: 3661.5156, Epsilon Home: 0.1461, Epsilon Away: 0.3500, Score: 36-14
2025-05-28 01:02:45 - Episode 158, Reward: -496.00, Variance: 3696.3956, Epsilon Home: 0.1458, Epsilon Away: 0.3500, Score: 36-28
2025-05-28 01:02:51 - Episode 159, Reward: -490.00, Variance: 3742.3389, Epsilon Home: 0.1455, Epsilon Away: 0.3500, Score: 43-3
2025-05-28 01:02:59 - Episode 160, Reward: -447.00, Variance: 3810.0989, Epsilon Home: 0.1452, Epsilon Away: 0.3500, Score: 61-7
2025-05-28 01:03:06 - Episode 161, Reward: -435.00, Variance: 4025.8622, Epsilon Home: 0.1449, Epsilon Away: 0.3500, Score: 42-16
2025-05-28 01:03:13 - Episode 162, Reward: -486.00, Variance: 4044.3156, Epsilon Home: 0.1446, Epsilon Away: 0.3500, Score: 15-11
2025-05-28 01:03:19 - Episode 163, Reward: -435.00, Variance: 4301.8456, Epsilon Home: 0.1443, Epsilon Away: 0.3500, Score: 14-8
2025-05-28 01:03:26 - Episode 164, Reward: -387.00, Variance: 4799.0456, Epsilon Home: 0.1440, Epsilon Away: 0.3500, Score: 38-15
2025-05-28 01:03:33 - Episode 165, Reward: -532.00, Variance: 4802.9122, Epsilon Home: 0.1437, Epsilon Away: 0.3500, Score: 19-6
2025-05-28 01:03:39 - Episode 166, Reward: -454.00, Variance: 4876.5389, Epsilon Home: 0.1434, Epsilon Away: 0.3500, Score: 22-12
2025-05-28 01:03:45 - Episode 167, Reward: -439.00, Variance: 4981.4000, Epsilon Home: 0.1432, Epsilon Away: 0.3500, Score: 40-15
2025-05-28 01:03:51 - Episode 168, Reward: -510.00, Variance: 4827.8900, Epsilon Home: 0.1429, Epsilon Away: 0.3500, Score: 32-27
2025-05-28 01:03:59 - Episode 169, Reward: -575.00, Variance: 4918.2722, Epsilon Home: 0.1426, Epsilon Away: 0.3500, Score: 44-11
2025-05-28 01:04:06 - Episode 170, Reward: -481.00, Variance: 4860.0267, Epsilon Home: 0.1423, Epsilon Away: 0.3500, Score: 15-7
2025-05-28 01:04:12 - Episode 171, Reward: -442.00, Variance: 5024.1122, Epsilon Home: 0.1420, Epsilon Away: 0.3500, Score: 12-10
2025-05-28 01:04:18 - Episode 172, Reward: -422.00, Variance: 4698.5656, Epsilon Home: 0.1417, Epsilon Away: 0.3500, Score: 11-10
2025-05-28 01:04:24 - Episode 173, Reward: -370.00, Variance: 4037.6622, Epsilon Home: 0.1415, Epsilon Away: 0.3500, Score: 14-10
2025-05-28 01:04:31 - Episode 174, Reward: -325.00, Variance: 4142.9556, Epsilon Home: 0.1412, Epsilon Away: 0.3500, Score: 19-3
2025-05-28 01:04:37 - Episode 175, Reward: -327.00, Variance: 4920.3956, Epsilon Home: 0.1409, Epsilon Away: 0.3500, Score: 16-10
2025-05-28 01:04:43 - Episode 176, Reward: -383.00, Variance: 5121.0722, Epsilon Home: 0.1406, Epsilon Away: 0.3500, Score: 2-0
2025-05-28 01:04:49 - Episode 177, Reward: -384.00, Variance: 4924.3156, Epsilon Home: 0.1403, Epsilon Away: 0.3500, Score: 18-13
2025-05-28 01:04:55 - Episode 178, Reward: -332.00, Variance: 5029.0267, Epsilon Home: 0.1400, Epsilon Away: 0.3500, Score: 18-7
2025-05-28 01:05:01 - Episode 179, Reward: -402.00, Variance: 4515.9956, Epsilon Home: 0.1398, Epsilon Away: 0.3500, Score: 14-14
2025-05-28 01:05:08 - Episode 180, Reward: -521.00, Variance: 4662.2889, Epsilon Home: 0.1395, Epsilon Away: 0.3500, Score: 15-10
2025-05-28 01:05:14 - Episode 181, Reward: -398.00, Variance: 4437.2989, Epsilon Home: 0.1392, Epsilon Away: 0.3500, Score: 9-9
2025-05-28 01:05:21 - Episode 182, Reward: -447.00, Variance: 4420.0722, Epsilon Home: 0.1389, Epsilon Away: 0.3500, Score: 33-7
2025-05-28 01:05:27 - Episode 183, Reward: -493.00, Variance: 4428.7956, Epsilon Home: 0.1386, Epsilon Away: 0.3500, Score: 29-8
2025-05-28 01:05:33 - Episode 184, Reward: -648.00, Variance: 5681.5833, Epsilon Home: 0.1384, Epsilon Away: 0.3500, Score: 71-28
